"filename", "language", "JSON", "CSS", "Markdown", "XML", "JavaScript JSX", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Utility\Redirect.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Wishlist\WishlistIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 8, 71
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\Wishlist\WishlistItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 72, 0, 0, 1, 4, 77
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\assets\NotFound.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\navbar\AdminNavbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 129, 0, 0, 0, 8, 137
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\navbar\OffcanvasNav.css", "CSS", 0, 188, 0, 0, 0, 0, 0, 2, 24, 214
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Components\navbar\OffcanvasNavbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 144, 0, 0, 0, 8, 152
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Context\CartContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 2, 7, 34
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Context\UserContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 61, 0, 0, 0, 11, 72
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Pages\AddProduct.jsx", "JavaScript JSX", 0, 0, 0, 0, 333, 0, 0, 3, 27, 363
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Pages\AdminHome.jsx", "JavaScript JSX", 0, 0, 0, 0, 196, 0, 0, 1, 14, 211
